scenario_id,scenario_name,probe_id,intro_text,probe_full_text,probe_question,patient_a_text,patient_b_text,pa_medical,pb_medical,pa_affiliation,pa_merit,pa_search,pa_personal_safety,pb_affiliation,pb_merit,pb_search,pb_personal_safety,choice1_text,choice2_text,probe_midpoint
July2025-AF-train,Affiliation Focus Set B,Probe 1,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has no visible bleeding but is not breathing. They are a POW who just recently surrendered.
Patient B has a dislocated left shoulder with no bleeding. They are a warfighter in the same military unit as you.
Which patient do you treat?",Which patient do you treat?,"no visible bleeding but is not breathing
a POW who just recently surrendered.","a dislocated left shoulder with no bleeding
a warfighter in the same military unit as you.",0.947157191,0.012495865,0,,,,1,,,,Treat Patient A,Treat Patient B,0.934661325
July2025-AF-train,Affiliation Focus Set B,Probe 2,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their torso. They are a POW who was captured over a year ago.
Patient B has a dislocated right shoulder with no bleeding. They are a warfighter in the same military unit as you.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their torso
a POW who was captured over a year ago.","a dislocated right shoulder with no bleeding
a warfighter in the same military unit as you.",0.997658863,0.012495865,0.142857143,,,,1,,,,Treat Patient A,Treat Patient B,0.986222784
July2025-AF-train,Affiliation Focus Set B,Probe 3,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their abdomen. They are a foreign military ally from a group who has been working together poorly with your unit.
Patient B has a broken left wrist with no bleeding. They are a warfighter in the same military unit as you.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their abdomen
a foreign military ally from a group who has been working together poorly with your unit.","a broken left wrist with no bleeding
a warfighter in the same military unit as you.",0.997658863,0.012495865,0.553240721,,,,1,,,,Treat Patient A,Treat Patient B,0.989267215
July2025-AF-train,Affiliation Focus Set B,Probe 4,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has a chest wound and is gasping for breath. They are a foreign military ally from a group who has not worked together with your unit.
Patient B has a broken right wrist with no bleeding. They are a warfighter in the same military unit as you.
Which patient do you treat?",Which patient do you treat?,"a chest wound and is gasping for breath
a foreign military ally from a group who has not worked together with your unit.","a broken right wrist with no bleeding
a warfighter in the same military unit as you.",0.942062369,0.012495865,0.687236495,,,,1,,,,Treat Patient A,Treat Patient B,0.953768738
July2025-AF-train,Affiliation Focus Set B,Probe 5,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their neck. They are a foreign military ally from a group who has been working together well with your unit.
Patient B has a broken left ankle with no bleeding. They are a warfighter in the same military unit as you.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their neck
a foreign military ally from a group who has been working together well with your unit.","a broken left ankle with no bleeding
a warfighter in the same military unit as you.",0.990133779,0.012495865,0.825276404,,,,1,,,,Treat Patient A,Treat Patient B,0.986865365
July2025-AF-train,Affiliation Focus Set B,Probe 6,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their head. They are a warfighter in the same branch of the military as you, but not in the same unit.
Patient B has a broken right ankle with no bleeding. They are a warfighter in the same military unit as you.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their head
a warfighter in the same branch of the military as you, but not in the same unit.","a broken right ankle with no bleeding
a warfighter in the same military unit as you.",0.990133779,0.012495865,0.95505618,,,,1,,,,Treat Patient A,Treat Patient B,0.988316438
July2025-AF-train,Affiliation Focus Set B,Probe 7,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their right shoulder. They are a POW who just recently surrendered.
Patient B has a dislocated left shoulder with no bleeding. They are a warfighter in the same military unit as you.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their right shoulder
a POW who just recently surrendered.","a dislocated left shoulder with no bleeding
a warfighter in the same military unit as you.",0.98788728,0.012495865,0,,,,1,,,,Treat Patient A,Treat Patient B,0.975391415
July2025-AF-train,Affiliation Focus Set B,Probe 8,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their left shoulder. They are a POW who was captured over a year ago.
Patient B has a dislocated right shoulder with no bleeding. They are a warfighter in the same military unit as you.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their left shoulder
a POW who was captured over a year ago.","a dislocated right shoulder with no bleeding
a warfighter in the same military unit as you.",0.98788728,0.012495865,0.142857143,,,,1,,,,Treat Patient A,Treat Patient B,0.977149171
July2025-AF-train,Affiliation Focus Set B,Probe 9,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their left groin. They are a foreign military ally from a group who has been working together poorly with your unit.
Patient B has a broken left wrist with no bleeding. They are a warfighter in the same military unit as you.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their left groin
a foreign military ally from a group who has been working together poorly with your unit.","a broken left wrist with no bleeding
a warfighter in the same military unit as you.",0.98788728,0.012495865,0.553240721,,,,1,,,,Treat Patient A,Treat Patient B,0.98219865
July2025-AF-train,Affiliation Focus Set B,Probe 10,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their right groin. They are a foreign military ally from a group who has not worked together with your unit.
Patient B has a broken right wrist with no bleeding. They are a warfighter in the same military unit as you.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their right groin
a foreign military ally from a group who has not worked together with your unit.","a broken right wrist with no bleeding
a warfighter in the same military unit as you.",0.98788728,0.012495865,0.687236495,,,,1,,,,Treat Patient A,Treat Patient B,0.983847374
